"BehaviorSpace results (NetLogo 6.2.1)"
"/home/s1426633/PEKRIS.nlogo"
"SA"
"08/31/2023 09:40:02:466 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","species","chla_supply","vegetation_delay","krill_amount","chla_growth","salp_immigration_probability","salp_mortality","krill_mortality","salp_amount","chla_decay","salp_length","salp_starvation","krill_hibernation","salp_halfsat","krill_halfsat","salp_grazing","max_abundance_salp_season","median_abundance_salp_overall","abundance_krill","mean_length_krill","sum_eggs_krill"
"9","2160","salps","Const","38","45","0.184","0.436","3.63","0.06","15","0.0301","3","37","20.2","0.287","0.108","0.0017","0","156","0","0","0"
"7","2160","krill","Lognorm","37","27","0.322","1.179","2.11","0.074","5","0.0581","2.7","31","13.6","0.292","0.099","0.002","0","0","55","5.16","18331"
"10","2160","both","Lognorm","56","38","0.208","0.698","3.22","0.087","8","0.0696","2.4","29","27.5","0.275","0.063","0.00128","1","8","65","3.7","22324"
"3","2160","salps","Lognorm","29","26","0.204","0.839","2.17","0.058","11","0.0499","4.4","25","23.5","0.221","0.092","0.00163","1165","1008.5","0","0","0"
"4","2160","both","Lognorm","37","31","0.315","0.47","3","0.066","5","0.0686","4.2","40","13.5","0.247","0.073","0.0028","4966","1018.5","105","5.17","36129"
"8","2160","krill","Const","46","15","0.249","0.749","3.67","0.068","15","0.0362","2.9","28","14.3","0.293","0.072","0.00164","0","0","3101","5.25","1529300"
"12","2160","salps","Lognorm","64","18","0.131","1.122","2.01","0.082","12","0.0391","1.8","20","25.2","0.236","0.087","0.00143","148","12","0","0","0"
"13","2160","krill","Lognorm","49","37","0.23","0.746","3.01","0.08","12","0.0621","1.6","24","19.9","0.138","0.122","0.00179","0","0","5","7.71","0"
"11","2160","salps","Lognorm","53","33","0.337","0.881","3.09","0.093","10","0.0431","2.6","24","25.3","0.168","0.106","0.00183","936","218.5","0","0","0"
"15","2160","salps","Const","46","21","0.209","0.832","3.28","0.039","9","0.0365","2.9","17","14.3","0.248","0.054","0.00191","6","672.5","0","0","0"
"14","2160","salps","Lognorm","24","35","0.194","0.505","1.68","0.086","6","0.0656","3.5","27","14.7","0.253","0.115","0.00233","12210","573","0","0","0"
"16","2160","krill","Const","58","33","0.276","0.825","2.65","0.055","6","0.0714","2.9","42","26.7","0.139","0.108","0.00169","0","0","213","5.41","115121"
"6","2160","salps","Const","56","30","0.211","0.906","3.74","0.071","5","0.03","1.8","19","10.6","0.108","0.121","0.00233","4718","52848.5","0","0","0"
"18","2160","krill","Const","36","33","0.16","0.993","2.79","0.063","7","0.0575","2.7","19","22.7","0.131","0.079","0.00267","0","0","147","6.32","135400"
"24","2160","krill","Lognorm","35","21","0.245","0.712","1.57","0.044","8","0.0657","3.7","16","28.2","0.287","0.077","0.00139","0","0","39","4","12689"
"19","2160","both","Lognorm","40","29","0.186","1.21","2.03","0.076","8","0.0614","3.9","34","11","0.169","0.08","0.00239","13042","5066.5","20","3.38","5510"
"25","2160","krill","Const","28","24","0.185","0.793","1.36","0.092","5","0.033","3.7","31","14.7","0.228","0.094","0.00257","0","0","1365","5.15","753536"
"2","2160","salps","Const","55","33","0.261","0.829","2.4","0.053","9","0.0615","1.7","15","23.1","0.279","0.087","0.00291","16052","108576.5","0","0","0"
"26","2160","krill","Lognorm","49","43","0.214","0.992","2.22","0.042","8","0.0594","3.8","40","16.7","0.161","0.059","0.00343","0","0","195","5.05","62979"
"27","2160","both","Const","38","22","0.151","0.682","1.62","0.076","14","0.0583","1.9","18","14","0.217","0.099","0.00145","6","42","7","7.35","25643"
"17","2160","both","Const","37","16","0.245","1.172","3.65","0.089","9","0.0547","1.6","43","26.3","0.132","0.107","0.00362","3885","108602","2","5.23","0"
"1","2160","both","Lognorm","38","16","0.369","1.231","3.23","0.036","7","0.0305","3.1","15","13.3","0.124","0.13","0.00358","83884","86695.5","8","4.89","0"
"28","2160","krill","Const","60","17","0.231","1.214","3.15","0.043","9","0.032","2","30","16","0.197","0.119","0.00165","0","0","2527","5.62","1131846"
"5","2160","salps","Lognorm","45","38","0.314","0.761","2.11","0.038","14","0.035","2.4","22","18.9","0.19","0.127","0.00253","112798","95631.5","0","0","0"
"29","2160","salps","Lognorm","36","22","0.141","0.871","2.82","0.073","14","0.0639","4.2","32","12.4","0.114","0.048","0.00207","200","1205","0","0","0"
"30","2160","both","Lognorm","48","41","0.261","0.562","3.65","0.045","6","0.0677","4.1","21","22.7","0.26","0.05","0.00195","328","86","330","7.44","309979"
"34","2160","krill","Const","47","24","0.148","0.736","3.54","0.103","12","0.0577","1.5","40","16.9","0.261","0.129","0.00216","0","0","4","5.75","0"
"37","2160","krill","Const","67","24","0.181","0.814","1.45","0.048","6","0.064","4.1","30","19.4","0.211","0.13","0.00145","0","0","6","6.37","0"
"38","2160","both","Lognorm","60","34","0.349","0.93","2.9","0.1","15","0.045","1.7","34","27.3","0.282","0.113","0.00192","395","373.5","46","6.78","36377"
"35","2160","salps","Const","49","44","0.142","0.555","1.98","0.068","8","0.0703","3.6","36","18.3","0.144","0.067","0.00263","5051","39119.5","0","0","0"
"22","2160","salps","Const","23","34","0.363","0.753","2.79","0.079","14","0.0749","1.9","41","17.8","0.152","0.076","0.00311","12591","261486","0","0","0"
"39","2160","krill","Lognorm","33","34","0.371","0.463","3.64","0.039","14","0.0749","3.3","19","25.4","0.137","0.058","0.00351","0","0","308","7.73","838894"
"20","2160","salps","Lognorm","38","27","0.23","0.49","1.4","0.101","15","0.0341","3.9","41","19.6","0.163","0.088","0.00296","222471","132352.5","0","0","0"
"42","2160","both","Lognorm","61","23","0.329","0.769","2.46","0.074","13","0.0252","3.6","43","24.4","0.179","0.112","0.00167","21851","1081.5","203","5.96","140446"
"36","2160","both","Lognorm","28","16","0.346","0.643","1.94","0.041","15","0.0595","2.8","43","26.8","0.164","0.086","0.00298","155073","190353","7","4.51","0"
"43","2160","salps","Lognorm","64","37","0.191","1.262","2.56","0.104","10","0.0704","4.2","29","18.1","0.117","0.132","0.00224","460","1091.5","0","0","0"
"44","2160","salps","Const","25","31","0.306","1.027","3.54","0.098","12","0.0577","3.3","39","23.7","0.141","0.12","0.00155","25","430.5","0","0","0"
"40","2160","both","Lognorm","29","37","0.213","0.481","2.27","0.099","15","0.0519","2.2","45","20.2","0.14","0.135","0.00266","5289","42653","5","4.09","0"
"47","2160","krill","Lognorm","47","44","0.203","1.198","3.12","0.069","9","0.053","2","31","15.8","0.22","0.098","0.00285","0","0","118","3.98","33881"
"46","2160","krill","Const","35","19","0.296","1.188","2.33","0.069","14","0.0282","4.4","25","27.1","0.132","0.094","0.00316","0","0","8804","5.64","3899461"
"33","2160","salps","Const","67","31","0.361","1.049","2.22","0.097","7","0.0309","3.3","40","18.9","0.241","0.058","0.00188","48451","242907","0","0","0"
"49","2160","salps","Lognorm","50","35","0.151","0.949","3.49","0.049","5","0.0297","2.6","27","20.2","0.124","0.088","0.00161","18","153","0","0","0"
"50","2160","salps","Const","63","41","0.236","1.154","3.14","0.065","6","0.0464","4","42","26","0.132","0.114","0.00189","2357","8821","0","0","0"
"32","2160","both","Const","63","42","0.204","1.02","1.81","0.063","13","0.0304","2.8","40","17.1","0.131","0.111","0.00339","281616","163437.5","8","3.42","0"
"45","2160","salps","Lognorm","62","22","0.35","1.031","2.82","0.062","7","0.0704","4.5","43","18.8","0.164","0.082","0.00295","30174","17957.5","0","0","0"
"54","2160","krill","Lognorm","49","21","0.35","0.935","1.86","0.048","8","0.0621","2.3","28","13.3","0.279","0.058","0.00272","0","0","1000","4.3","419913"
"55","2160","salps","Const","45","34","0.301","1.014","2.61","0.099","13","0.0635","2","39","12.1","0.267","0.088","0.00161","1","30","0","0","0"
"51","2160","both","Lognorm","61","33","0.342","0.904","3.5","0.054","13","0.0307","2.5","31","16.7","0.145","0.087","0.00282","22642","8432","56","6.16","16273"
"21","2160","both","Lognorm","27","36","0.332","0.936","1.46","0.049","14","0.0688","3","28","18.3","0.129","0.096","0.00246","316554","162653.5","15","3.79","0"
"56","2160","krill","Const","51","32","0.187","0.788","2.1","0.093","15","0.0419","3.3","40","24.7","0.22","0.054","0.00136","0","0","1243","5.15","983160"
"58","2160","both","Lognorm","46","39","0.202","1.085","3.49","0.099","13","0.0527","2.6","36","20.2","0.242","0.126","0.00334","1489","2910.5","2","6.51","0"
"59","2160","krill","Lognorm","24","37","0.206","0.691","1.66","0.053","5","0.0335","2.5","42","11.6","0.2","0.103","0.00343","0","0","128","6.69","118100"
"61","2160","both","Const","65","41","0.236","1.239","1.9","0.062","12","0.0603","2.8","31","12.8","0.286","0.049","0.00179","2136","1671.5","1392","5.55","693490"
"62","2160","krill","Const","63","35","0.282","1.004","2.52","0.095","15","0.0428","2.9","17","13.2","0.187","0.099","0.0018","0","0","1883","4.87","1086806"
"63","2160","krill","Lognorm","56","22","0.195","0.566","1.99","0.062","5","0.066","4.1","25","16.9","0.164","0.105","0.00159","0","0","5","7.53","0"
"41","2160","salps","Const","33","37","0.196","1.159","1.26","0.057","6","0.0618","3.7","29","22.5","0.231","0.063","0.0022","79465","128881.5","0","0","0"
"57","2160","both","Const","33","16","0.131","0.517","2.23","0.058","10","0.0391","2.7","31","13.3","0.197","0.079","0.00333","3864","138587","8","4.26","0"
"60","2160","salps","Const","59","25","0.339","1.157","3.69","0.054","13","0.0382","3.9","39","12.3","0.152","0.057","0.00327","10577","209390","0","0","0"
"48","2160","salps","Const","55","20","0.32","1.136","2.01","0.055","5","0.0413","2.6","40","16.6","0.289","0.073","0.00277","112783","204906","0","0","0"
"69","2160","both","Const","48","43","0.173","1.178","3.33","0.087","11","0.0378","2.6","33","15.9","0.216","0.05","0.00223","12","598","2669","5.32","1639341"
"64","2160","salps","Lognorm","37","20","0.234","1.158","1.48","0.062","9","0.0609","1.8","41","10.5","0.108","0.071","0.00311","115357","84569.5","0","0","0"
